Terrarium,insect,ter_no,Name_x,customer identifier,cust_no,Name_y,tpe,Contact number,First Purchase period,key,description,food portions per day
chaff,f,1455,chaff,143,143,Elisha Sandidge,b,081-781-5555,202011,f,flea,3.0
warranter,k,2242,warranter,1,1,Eladia Coltrane,x,072-304-1562,202012,k,Katydid,3.0
contractive,d,2436,contractive,220,220,Shasta Packett,x,083-208-4658,201910,d,Unknown insect type (imputed),5.0
maxima,t,2094,maxima,21,21,Raven Croskey,u,074-809-9073,202005,t,Tsetse fly,5.0
rubicund,y,2120,rubicund,296,296,Hilma Grammer,f,081-805-6812,202107,y,Yellow jacket,16.0
repeatability,v,1828,repeatability,275,275,Raguel Burdge,b,079-392-3974,202110,v,Velvet ant,2.0
vaporized,z,1870,vaporized,132,132,Lesia Moroz,w,071-461-6577,202102,z,Zorapteran,5.0
unrivaling,n,2512,unrivaling,226,226,Kathrine Grubbs,d,084-787-3161,201907,n,Nit,4.0
unharmonising,b,2516,unharmonising,301,301,Micah Sabado,l,075-365-9474,202102,b,bee,1.0
wrinkliest,p,2299,wrinkliest,60,60,Eunice Spady,g,076-225-1482,202100,p,Praying mantis,8.0
anodize,f,2113,anodize,221,221,Thi Mennenga,y,083-798-1764,202012,f,flea,3.0
unshabbily,e,2645,unshabbily,318,318,Gonzalo Ahlstrom,c,078-738-2607,202108,e,Elephant hawk moth,2.0
octillionth,u,2360,octillionth,80,80,Rickie Osman,l,078-133-9611,202103,u,Underwing,6.0
indeterminate,j,2052,indeterminate,173,173,Coy Lawler,t,083-207-5989,202002,j,Junebug,5.0
outglitter,m,2025,outglitter,75,75,Ervin Hepburn,b,080-382-6212,202111,m,Maggot,5.5
immersion,z,2455,immersion,67,67,Li Birdwell,g,077-249-1815,202005,z,Zorapteran,5.0
unterminational,m,2687,unterminational,257,257,Yu Hamlett,s,076-171-1369,202005,m,Maggot,5.5
recirculating,a,1269,recirculating,114,114,Kimi Hawkes,v,084-846-5468,202109,a,ant,1.0
supersensibly,m,1117,supersensibly,218,218,Sona Riel,n,078-924-1263,201900,m,Maggot,5.5
unison,n,2721,unison,278,278,Lilliam Ming,x,086-885-6234,202100,n,Nit,4.0
endomorphism,k,1110,endomorphism,80,80,Rickie Osman,l,078-133-9611,202103,k,Katydid,3.0
noisomely,v,1775,noisomely,223,223,Tomika Odea,b,075-563-8368,201912,v,Velvet ant,2.0
dissolve,y,2960,dissolve,184,184,Sudie Bulkley,a,075-105-6323,202100,y,Yellow jacket,16.0
overaggravated,p,1098,overaggravated,210,210,Pearl Favor,p,072-534-6367,202008,p,Praying mantis,8.0
tursha,i,3078,tursha,241,241,Pauletta Lazo,n,082-454-6754,202103,i,insect,3.0
ternopol,t,1786,ternopol,189,189,Henry Mcnew,o,082-332-5238,201903,t,Tsetse fly,5.0
pinta,p,1452,pinta,220,220,Shasta Packett,x,083-208-4658,201910,p,Praying mantis,8.0
undeterrable,z,2763,undeterrable,88,88,Edgar Benfield,j,077-940-5354,202002,z,Zorapteran,5.0
undrawable,c,2865,undrawable,2,2,Jewel Rueda,l,077-431-5682,201911,c,catapillar,1.0
pinacoid,w,1744,pinacoid,319,319,Sharee Chauez,i,086-242-1859,202109,w,Wasp,15.0
unnavigableness,z,1341,unnavigableness,311,311,Jeanie Wentzell,d,079-537-7965,201906,z,Zorapteran,5.0
tunny,m,3108,tunny,200,200,Lyle Nix,i,076-117-1648,201906,m,Maggot,5.5
unlustrous,r,2329,unlustrous,171,171,Shawanna Shoemake,q,081-441-5381,201903,r,Rhinoceros beetle,35.0
scleroblast,l,2402,scleroblast,207,207,Rudy Ketcher,i,074-787-4121,201901,l,Locust,99.0
principe,b,2257,principe,189,189,Henry Mcnew,o,082-332-5238,201903,b,bee,1.0
unpacifistic,a,1129,unpacifistic,291,291,Emmie Raiford,l,087-562-1847,202110,a,ant,1.0
rocky,r,1539,rocky,182,182,Lurlene Lovingood,a,081-295-4417,202107,r,Rhinoceros beetle,35.0
proelectrification,w,1182,proelectrification,275,275,Raguel Burdge,b,079-392-3974,202110,w,Wasp,15.0
inceptively,h,1231,inceptively,101,101,Sharyn Troy,d,074-190-5827,202103,h,humbug,0.0
palmy,y,1718,palmy,18,18,Jacalyn Weick,w,082-676-8601,202008,y,Yellow jacket,16.0
grady,v,1406,grady,304,304,Eunice Entwistle,a,074-321-9812,201905,v,Velvet ant,2.0
uncollapsed,g,2808,uncollapsed,57,57,Violet Hundt,j,081-301-1928,201911,g,Grasshopper,50.0
kunowsky,v,2189,kunowsky,42,42,Veola Olvera,k,079-134-4502,202005,v,Velvet ant,2.0
margery,w,2136,margery,290,290,Jetta Konecny,b,076-336-1377,201901,w,Wasp,15.0
interdenominationalism,g,1334,interdenominationalism,177,177,Cristie Argento,n,086-909-8832,202102,g,Grasshopper,50.0
assaultable,v,1273,assaultable,285,285,Priscila Kilroy,c,074-992-6162,202002,v,Velvet ant,2.0
gangbang,g,3165,gangbang,311,311,Jeanie Wentzell,d,079-537-7965,201906,g,Grasshopper,50.0
salaam,l,2907,salaam,228,228,Jose Swofford,p,080-771-7187,202104,l,Locust,99.0
herborist,w,2417,herborist,151,151,Rikki Lepak,t,085-467-3941,202104,w,Wasp,15.0
unmouldering,q,2789,unmouldering,181,181,Jacalyn Goers,g,082-547-5696,202002,q,Queen bee,11.0
labeling,s,2379,labeling,3,3,Pearly Lozada,c,076-971-5923,201902,s,Stick insect,9.0
buster,l,3010,buster,221,221,Thi Mennenga,y,083-798-1764,202012,l,Locust,99.0
deafness,q,3044,deafness,277,277,Natisha Blythe,y,083-470-1500,197001,q,Queen bee,11.0
bedside,p,3002,bedside,145,145,Drucilla Villegas,k,073-134-8894,202106,p,Praying mantis,8.0
unlustrous,o,2329,unlustrous,171,171,Shawanna Shoemake,q,081-441-5381,201903,o,Orange Sulfur Butterfly,13.0
prothalloid,h,2451,prothalloid,251,251,Cindi Jeremiah,o,075-985-7988,201903,h,humbug,0.0
trawl,d,1440,trawl,166,166,Rosendo Parten,t,082-117-2337,202009,d,Unknown insect type (imputed),5.0
unaromatic,i,2504,unaromatic,26,26,Versie Mucha,m,082-903-1924,201912,i,insect,3.0
undiked,m,2903,undiked,133,133,Melida Gass,a,075-575-7976,202112,m,Maggot,5.5
lizard,g,3120,lizard,267,267,Treena Capobianco,u,080-343-5302,202001,g,Grasshopper,50.0
contractive,v,2436,contractive,220,220,Shasta Packett,x,083-208-4658,201910,v,Velvet ant,2.0
unbale,p,2538,unbale,104,104,Velva Griego,u,077-898-2107,201900,p,Praying mantis,8.0
appraisive,f,2314,appraisive,179,179,Trinity Roda,o,079-428-4550,201900,f,flea,3.0
foxborough,b,2421,foxborough,31,31,Alverta Magar,z,075-936-4800,202001,b,bee,1.0
index,l,3158,index,81,81,Leanora Wickliffe,e,071-619-6458,202109,l,Locust,99.0
unportrayable,w,1938,unportrayable,280,280,Linnie Jaworski,z,083-999-9228,201903,w,Wasp,15.0
wriggly,b,3219,wriggly,78,78,Joslyn Haus,v,082-228-2104,202010,b,bee,1.0
invulnerable,g,2109,invulnerable,21,21,Raven Croskey,u,074-809-9073,202005,g,Grasshopper,50.0
lapactic,j,2394,lapactic,116,116,Clemmie Dunphy,c,079-683-5944,202101,j,Junebug,5.0
nonpardoning,c,1102,nonpardoning,204,204,Gregg Blanchette,c,074-884-1593,202100,c,catapillar,1.0
cense,r,1588,cense,86,86,Romeo Rotolo,d,087-260-2627,202105,r,Rhinoceros beetle,35.0
meris,g,1429,meris,75,75,Ervin Hepburn,b,080-382-6212,202111,g,Grasshopper,50.0
avalon,r,2181,avalon,93,93,Arianne Odonnell,p,076-751-8775,202004,r,Rhinoceros beetle,35.0
unalterable,r,1976,unalterable,104,104,Velva Griego,u,077-898-2107,201900,r,Rhinoceros beetle,35.0
uncompanionable,z,2683,uncompanionable,168,168,Marin Davisson,b,075-193-5830,201904,z,Zorapteran,5.0
spuming,o,3070,spuming,34,34,Marica Creed,a,073-422-6326,202109,o,Orange Sulfur Butterfly,13.0
erringly,w,1877,erringly,306,306,Lera Calcote,p,084-450-5529,201912,w,Wasp,15.0
unousted,p,2839,unousted,308,308,Angela Schoenborn,p,079-660-5912,201904,p,Praying mantis,8.0
fruitlessness,h,1277,fruitlessness,277,277,Natisha Blythe,y,083-470-1500,197001,h,humbug,0.0
unflunked,j,2599,unflunked,324,324,Barb Bulger,t,073-716-5606,201907,j,Junebug,5.0
unprovoking,h,2607,unprovoking,182,182,Lurlene Lovingood,a,081-295-4417,202107,h,humbug,0.0
unstruggling,a,2569,unstruggling,202,202,Toshia Hostetter,a,084-997-6773,201903,a,ant,1.0
unsticking,f,2626,unsticking,287,287,Eric Kreamer,j,078-476-1791,202003,f,flea,3.0
eufaula,e,1737,eufaula,247,247,Robbyn Carlberg,u,078-601-9398,202006,e,Elephant hawk moth,2.0
untriturated,i,2736,untriturated,59,59,Irish Jensen,h,081-970-5000,202003,i,insect,3.0
unteaselled,x,2573,unteaselled,173,173,Coy Lawler,t,083-207-5989,202002,x,Xigua,4.5
barosinusitis,f,1338,barosinusitis,19,19,Jaymie Helsley,z,075-522-2685,202007,f,flea,3.0
pomona,k,1809,pomona,221,221,Thi Mennenga,y,083-798-1764,202012,k,Katydid,3.0
snazziness,w,2424,snazziness,44,44,Demarcus Shiroma,s,075-293-4079,201910,w,Wasp,15.0
examinable,j,1987,examinable,150,150,Madelene Stanforth,w,081-233-7668,201908,j,Junebug,5.0
unholiness,p,2850,unholiness,269,269,Juliette Lyford,z,080-755-2008,201908,p,Praying mantis,8.0
lyubertsy,t,2489,lyubertsy,122,122,Emmett Gebhard,f,081-153-9951,202011,t,Tsetse fly,5.0
unspecific,p,2793,unspecific,42,42,Veola Olvera,k,079-134-4502,202005,p,Praying mantis,8.0
brokership,x,2443,brokership,300,300,Grayce Thatcher,x,080-105-3161,202103,x,Xigua,4.5
melinite,b,1797,melinite,202,202,Toshia Hostetter,a,084-997-6773,201903,b,bee,1.0
trifurcated,j,1125,trifurcated,318,318,Gonzalo Ahlstrom,c,078-738-2607,202108,j,Junebug,5.0
pleiades,u,2318,pleiades,117,117,Artie Stiff,n,071-245-3352,202107,u,Underwing,6.0
underline,e,2614,underline,122,122,Emmett Gebhard,f,081-153-9951,202011,e,Elephant hawk moth,2.0
umbonate,s,2728,umbonate,122,122,Emmett Gebhard,f,081-153-9951,202011,s,Stick insect,9.0
phlogopite,w,2018,phlogopite,215,215,Foster Zawislak,x,081-769-2511,202011,w,Wasp,15.0
phototroph,r,2356,phototroph,41,41,Carmelo Wallner,x,078-519-5851,202006,r,Rhinoceros beetle,35.0
epagogic,t,2071,epagogic,262,262,Samantha Riddell,p,083-811-7115,201904,t,Tsetse fly,5.0
small,a,1581,small,195,195,Terrance Latson,g,085-188-9761,189901,a,ant,1.0
aulis,a,1482,aulis,106,106,Maureen Spinner,v,080-911-1748,201900,a,ant,1.0
unliteral,v,2846,unliteral,117,117,Artie Stiff,n,071-245-3352,202107,v,Velvet ant,2.0
eternization,m,1292,eternization,142,142,Gilma Swager,p,083-578-4644,202112,m,Maggot,5.5
unconvoyed,b,2835,unconvoyed,106,106,Maureen Spinner,v,080-911-1748,201900,b,bee,1.0
unchased,g,2899,unchased,36,36,Donny Cloud,z,087-731-8141,202108,g,Grasshopper,50.0
discipline,v,2082,discipline,246,246,Lilla Mccombs,k,074-240-6787,201906,v,Velvet ant,2.0
dukhobortsy,o,999,dukhobortsy,194,194,Denna Buttrey,d,075-258-1757,202108,o,Orange Sulfur Butterfly,13.0
unnavigableness,x,1341,unnavigableness,311,311,Jeanie Wentzell,d,079-537-7965,201906,x,Xigua,4.5
terahertzes,h,2033,terahertzes,132,132,Lesia Moroz,w,071-461-6577,202102,h,humbug,0.0
glass,b,1672,glass,94,94,Jeannette Callan,c,072-449-4992,201912,b,bee,1.0
youthfulness,q,2375,youthfulness,238,238,Ramiro Milligan,h,083-695-5976,202004,q,Queen bee,11.0
joeys,i,3086,joeys,213,213,Diann Trigg,l,085-396-2469,201907,i,insect,3.0
unbale,i,2538,unbale,104,104,Velva Griego,u,077-898-2107,201900,i,insect,3.0
tautomeric,t,1763,tautomeric,189,189,Henry Mcnew,o,082-332-5238,201903,t,Tsetse fly,5.0
narragansett,m,992,narragansett,63,63,Almeta Bedolla,z,081-909-2060,202111,m,Maggot,5.5
unanachronistic,n,1087,unanachronistic,10,10,Blythe Howse,m,074-828-7587,201908,n,Nit,4.0
undoubted,j,2550,undoubted,275,275,Raguel Burdge,b,079-392-3974,202110,j,Junebug,5.0
unsputtering,w,2519,unsputtering,309,309,Enda Bussiere,r,083-389-8998,202010,w,Wasp,15.0
deshabille,k,2231,deshabille,91,91,Lavina Vos,z,077-981-2916,202110,k,Katydid,3.0
locus,j,1562,locus,101,101,Sharyn Troy,d,074-190-5827,202103,j,Junebug,5.0
penthouse,d,3196,penthouse,179,179,Trinity Roda,o,079-428-4550,201900,d,Unknown insect type (imputed),5.0
superreliance,r,1015,superreliance,55,55,Noreen Wildey,b,074-967-2367,202011,r,Rhinoceros beetle,35.0
radios,r,1968,radios,179,179,Trinity Roda,o,079-428-4550,201900,r,Rhinoceros beetle,35.0
warranter,u,2242,warranter,1,1,Eladia Coltrane,x,072-304-1562,202012,u,Underwing,6.0
unpasteurized,n,2671,unpasteurized,280,280,Linnie Jaworski,z,083-999-9228,201903,n,Nit,4.0
uninterred,a,2747,uninterred,204,204,Gregg Blanchette,c,074-884-1593,202100,a,ant,1.0
gumweed,w,2877,gumweed,236,236,Joesph Junkin,j,081-147-6549,201905,w,Wasp,15.0
unrepeatable,k,1816,unrepeatable,226,226,Kathrine Grubbs,d,084-787-3161,201907,k,Katydid,3.0
unstultified,n,2713,unstultified,9,9,Phillis Wainright,w,071-988-2023,201904,n,Nit,4.0
prerouted,l,2048,prerouted,311,311,Jeanie Wentzell,d,079-537-7965,201906,l,Locust,99.0
unscalded,z,2478,unscalded,55,55,Noreen Wildey,b,074-967-2367,202011,z,Zorapteran,5.0
dissolve,t,2960,dissolve,184,184,Sudie Bulkley,a,075-105-6323,202100,t,Tsetse fly,5.0
howie,b,1512,howie,160,160,Sima Coomer,r,085-159-9315,202104,b,bee,1.0
interparliamentary,k,996,interparliamentary,130,130,Florinda Luckow,j,077-878-7105,202100,k,Katydid,3.0
unclassically,x,2622,unclassically,65,65,Cherri Grisham,m,081-989-4458,201912,x,Xigua,4.5
principe,a,2257,principe,189,189,Henry Mcnew,o,082-332-5238,201903,a,ant,1.0
sheefishes,j,2193,sheefishes,239,239,Gertrudis Evan,l,084-243-4527,202004,j,Junebug,5.0
upturn,o,3097,upturn,72,72,Genna Moree,x,074-376-7745,202003,o,Orange Sulfur Butterfly,13.0
icelander,c,2307,icelander,54,54,Joel Liner,k,081-530-7557,202111,c,catapillar,1.0
quinquagenarian,s,1034,quinquagenarian,264,264,Cecila Pasko,v,087-484-2016,202100,s,Stick insect,9.0
formated,a,2269,formated,33,33,Janelle Busch,w,077-721-2347,202104,a,ant,1.0
unrationed,r,2797,unrationed,316,316,Young Bueno,f,084-600-8108,197001,r,Rhinoceros beetle,35.0
kingtehchen,s,2432,kingtehchen,153,153,Bebe Mathieu,p,074-585-5515,202100,s,Stick insect,9.0
deafness,a,3044,deafness,277,277,Natisha Blythe,y,083-470-1500,197001,a,ant,1.0
unwithdrawable,p,2493,unwithdrawable,81,81,Leanora Wickliffe,e,071-619-6458,202109,p,Praying mantis,8.0
liken,i,1421,liken,179,179,Trinity Roda,o,079-428-4550,201900,i,insect,3.0
unhonored,o,2542,unhonored,125,125,Brice Bonhomme,d,083-379-4932,201905,o,Orange Sulfur Butterfly,13.0
norwalk,t,2941,norwalk,199,199,Leone Matt,u,081-105-7423,201905,t,Tsetse fly,5.0
libau,q,3063,libau,301,301,Micah Sabado,l,075-365-9474,202102,q,Queen bee,11.0
kingtehchen,v,2432,kingtehchen,153,153,Bebe Mathieu,p,074-585-5515,202100,v,Velvet ant,2.0
calcium,e,2234,calcium,5,5,Reyes Davies,w,077-283-5044,202106,e,Elephant hawk moth,2.0
dukhobortsy,t,999,dukhobortsy,194,194,Denna Buttrey,d,075-258-1757,202108,t,Tsetse fly,5.0
ascocarpous,p,1820,ascocarpous,269,269,Juliette Lyford,z,080-755-2008,201908,p,Praying mantis,8.0
sepia,v,1695,sepia,269,269,Juliette Lyford,z,080-755-2008,201908,v,Velvet ant,2.0
albin,t,1657,albin,316,316,Young Bueno,f,084-600-8108,197001,t,Tsetse fly,5.0
unrepetitious,y,2854,unrepetitious,221,221,Thi Mennenga,y,083-798-1764,202012,y,Yellow jacket,16.0
unexplaining,w,2804,unexplaining,199,199,Leone Matt,u,081-105-7423,201905,w,Wasp,15.0
brokership,e,2443,brokership,300,300,Grayce Thatcher,x,080-105-3161,202103,e,Elephant hawk moth,2.0
miscarry,q,2238,miscarry,308,308,Angela Schoenborn,p,079-660-5912,201904,q,Queen bee,11.0
chaff,f,1455,chaff,143,143,Elisha Sandidge,b,081-781-5555,202011,f,flea,3.0
epagogic,m,2071,epagogic,262,262,Samantha Riddell,p,083-811-7115,201904,m,Maggot,5.5
nonperpetration,a,1155,nonperpetration,96,96,Adell Baldree,x,078-723-8425,201908,a,ant,1.0
pomona,m,1809,pomona,221,221,Thi Mennenga,y,083-798-1764,202012,m,Maggot,5.5
unsubverted,a,2660,unsubverted,220,220,Shasta Packett,x,083-208-4658,201910,a,ant,1.0
fiendishness,u,1911,fiendishness,103,103,Zelda Bridgett,r,085-887-8677,201906,u,Underwing,6.0
dissolve,h,2960,dissolve,184,184,Sudie Bulkley,a,075-105-6323,202100,h,humbug,0.0
unprocessed,b,1132,unprocessed,256,256,Milagro Maria,f,085-981-6759,202009,b,bee,1.0
unspecific,y,2793,unspecific,42,42,Veola Olvera,k,079-134-4502,202005,y,Yellow jacket,16.0
festive,a,2937,festive,324,324,Barb Bulger,t,073-716-5606,201907,a,ant,1.0
cappelletti,i,1113,cappelletti,91,91,Lavina Vos,z,077-981-2916,202110,i,insect,3.0
pargasite,o,2276,pargasite,202,202,Toshia Hostetter,a,084-997-6773,201903,o,Orange Sulfur Butterfly,13.0
unshabbily,t,2645,unshabbily,318,318,Gonzalo Ahlstrom,c,078-738-2607,202108,t,Tsetse fly,5.0
undoubted,v,2550,undoubted,275,275,Raguel Burdge,b,079-392-3974,202110,v,Velvet ant,2.0
pretimeliness,d,1144,pretimeliness,11,11,Chana Six,m,086-823-5508,201902,d,Unknown insect type (imputed),5.0
unshrunk,c,2588,unshrunk,225,225,Lacie Shirkey,s,079-280-8212,202004,c,catapillar,1.0
horridly,z,2447,horridly,283,283,Marybelle Graden,f,076-223-1485,202005,z,Zorapteran,5.0
brugge,i,2888,brugge,163,163,Lia Strother,l,077-831-2156,201901,i,insect,3.0
chrysoprase,z,1246,chrysoprase,195,195,Terrance Latson,g,085-188-9761,189901,z,Zorapteran,5.0
utrecht,c,3105,utrecht,59,59,Irish Jensen,h,081-970-5000,202003,c,catapillar,1.0
sunglasses,u,2470,sunglasses,265,265,Gertie Keeling,c,086-442-5564,201903,u,Underwing,6.0
sinecurist,k,2067,sinecurist,321,321,Kathleen Leff,g,085-916-9461,202108,k,Katydid,3.0
octillionth,h,2360,octillionth,80,80,Rickie Osman,l,078-133-9611,202103,h,humbug,0.0
beatitude,i,1767,beatitude,303,303,Kathlene Bavaro,h,084-892-8235,201911,i,insect,3.0
taxis,t,3143,taxis,221,221,Thi Mennenga,y,083-798-1764,202012,t,Tsetse fly,5.0
festive,v,2937,festive,324,324,Barb Bulger,t,073-716-5606,201907,v,Velvet ant,2.0
underline,u,2614,underline,122,122,Emmett Gebhard,f,081-153-9951,202011,u,Underwing,6.0
subungual,r,2333,subungual,231,231,Cristy Nelson,y,074-176-2289,202103,r,Rhinoceros beetle,35.0
unblent,l,2774,unblent,319,319,Sharee Chauez,i,086-242-1859,202109,l,Locust,99.0
understandability,h,2633,understandability,166,166,Rosendo Parten,t,082-117-2337,202009,h,humbug,0.0
unconvoyed,g,2835,unconvoyed,106,106,Maureen Spinner,v,080-911-1748,201900,g,Grasshopper,50.0
bidden,k,3036,bidden,173,173,Coy Lawler,t,083-207-5989,202002,k,Katydid,3.0
uncompanionable,c,2683,uncompanionable,168,168,Marin Davisson,b,075-193-5830,201904,c,catapillar,1.0
thomisid,l,2291,thomisid,230,230,Blythe Statton,c,073-404-5450,202104,l,Locust,99.0
amole,g,1664,amole,213,213,Diann Trigg,l,085-396-2469,201907,g,Grasshopper,50.0
unalterable,d,1976,unalterable,104,104,Velva Griego,u,077-898-2107,201900,d,Unknown insect type (imputed),5.0
floriculturist,i,1322,floriculturist,21,21,Raven Croskey,u,074-809-9073,202005,i,insect,3.0
utrecht,l,3105,utrecht,59,59,Irish Jensen,h,081-970-5000,202003,l,Locust,99.0
monza,c,1721,monza,10,10,Blythe Howse,m,074-828-7587,201908,c,catapillar,1.0
coccygius,u,1752,coccygius,228,228,Jose Swofford,p,080-771-7187,202104,u,Underwing,6.0
howie,b,1512,howie,160,160,Sima Coomer,r,085-159-9315,202104,b,bee,1.0
discommodiously,d,2056,discommodiously,295,295,Shantelle Rosner,a,084-547-2476,202000,d,Unknown insect type (imputed),5.0
unmortising,n,2831,unmortising,288,288,Ralph Purinton,l,073-145-6222,201906,n,Nit,4.0
wrinkliest,h,2299,wrinkliest,60,60,Eunice Spady,g,076-225-1482,202100,h,humbug,0.0
unfeeble,w,2132,unfeeble,313,313,Marna Linder,c,078-398-5953,202109,w,Wasp,15.0
wyeth,n,1729,wyeth,313,313,Marna Linder,c,078-398-5953,202109,n,Nit,4.0
buster,s,3010,buster,221,221,Thi Mennenga,y,083-798-1764,202012,s,Stick insect,9.0
examinable,m,1987,examinable,150,150,Madelene Stanforth,w,081-233-7668,201908,m,Maggot,5.5
unniched,v,2497,unniched,5,5,Reyes Davies,w,077-283-5044,202106,v,Velvet ant,2.0
hepatectomizing,x,1254,hepatectomizing,160,160,Sima Coomer,r,085-159-9315,202104,x,Xigua,4.5
grizzle,p,3101,grizzle,287,287,Eric Kreamer,j,078-476-1791,202003,p,Praying mantis,8.0
deshabille,c,2231,deshabille,91,91,Lavina Vos,z,077-981-2916,202110,c,catapillar,1.0
unspiring,v,2816,unspiring,313,313,Marna Linder,c,078-398-5953,202109,v,Velvet ant,2.0
macho,o,1653,macho,241,241,Pauletta Lazo,n,082-454-6754,202103,o,Orange Sulfur Butterfly,13.0
norwalk,g,2941,norwalk,199,199,Leone Matt,u,081-105-7423,201905,g,Grasshopper,50.0
concent,v,2972,concent,254,254,Hai Cabaniss,d,081-119-7725,202100,v,Velvet ant,2.0
unperversive,o,2664,unperversive,166,166,Rosendo Parten,t,082-117-2337,202009,o,Orange Sulfur Butterfly,13.0
immersion,y,2455,immersion,67,67,Li Birdwell,g,077-249-1815,202005,y,Yellow jacket,16.0
unclassically,f,2622,unclassically,65,65,Cherri Grisham,m,081-989-4458,201912,f,flea,3.0
unstruggling,q,2569,unstruggling,202,202,Toshia Hostetter,a,084-997-6773,201903,q,Queen bee,11.0
scraping,r,3055,scraping,62,62,Nelia Boardman,o,073-849-7376,202000,r,Rhinoceros beetle,35.0
dhikr,k,1524,dhikr,104,104,Velva Griego,u,077-898-2107,201900,k,Katydid,3.0
laodamia,s,2044,laodamia,60,60,Eunice Spady,g,076-225-1482,202100,s,Stick insect,9.0
locus,t,1562,locus,101,101,Sharyn Troy,d,074-190-5827,202103,t,Tsetse fly,5.0
icelander,r,2307,icelander,54,54,Joel Liner,k,081-530-7557,202111,r,Rhinoceros beetle,35.0
tedder,i,3124,tedder,142,142,Gilma Swager,p,083-578-4644,202112,i,insect,3.0
unstylized,y,2717,unstylized,259,259,Hana Clabaugh,d,074-262-7203,239012,y,Yellow jacket,16.0
supersensibly,b,1117,supersensibly,218,218,Sona Riel,n,078-924-1263,201900,b,bee,1.0
riata,y,2371,riata,98,98,Erik Ruffner,g,083-749-8977,202010,y,Yellow jacket,16.0
bonus,q,1702,bonus,116,116,Clemmie Dunphy,c,079-683-5944,202101,q,Queen bee,11.0
recatalogued,d,1072,recatalogued,138,138,Sharika Vendetti,u,085-728-3577,202003,d,Unknown insect type (imputed),5.0
avian,x,1566,avian,277,277,Natisha Blythe,y,083-470-1500,197001,x,Xigua,4.5
ungovernability,c,2679,ungovernability,270,270,Marco Rickard,g,074-755-1936,202111,c,catapillar,1.0
subungual,j,2333,subungual,231,231,Cristy Nelson,y,074-176-2289,202103,j,Junebug,5.0
fiendishness,z,1911,fiendishness,103,103,Zelda Bridgett,r,085-887-8677,201906,z,Zorapteran,5.0
coccygius,i,1752,coccygius,228,228,Jose Swofford,p,080-771-7187,202104,i,insect,3.0
batia,z,1402,batia,166,166,Rosendo Parten,t,082-117-2337,202009,z,Zorapteran,5.0
narragansett,e,992,narragansett,63,63,Almeta Bedolla,z,081-909-2060,202111,e,Elephant hawk moth,2.0
electroballistic,s,1250,electroballistic,254,254,Hai Cabaniss,d,081-119-7725,202100,s,Stick insect,9.0
dissolve,r,2960,dissolve,184,184,Sudie Bulkley,a,075-105-6323,202100,r,Rhinoceros beetle,35.0
emery,i,1497,emery,262,262,Samantha Riddell,p,083-811-7115,201904,i,insect,3.0
concent,o,2972,concent,254,254,Hai Cabaniss,d,081-119-7725,202100,o,Orange Sulfur Butterfly,13.0
discipline,h,2082,discipline,246,246,Lilla Mccombs,k,074-240-6787,201906,h,humbug,0.0
inverness,p,2337,inverness,39,39,Wilburn Kimsey,t,079-343-4425,201906,p,Praying mantis,8.0
elite,j,1467,elite,285,285,Priscila Kilroy,c,074-992-6162,202002,j,Junebug,5.0
lectern,d,2956,lectern,41,41,Carmelo Wallner,x,078-519-5851,202006,d,Unknown insect type (imputed),5.0
heian,a,1376,heian,319,319,Sharee Chauez,i,086-242-1859,202109,a,ant,1.0
mauritius,a,2147,mauritius,295,295,Shantelle Rosner,a,084-547-2476,202000,a,ant,1.0
counterweight,f,2303,counterweight,176,176,Sandra Griego,k,077-259-7055,202112,f,flea,3.0
undrawable,t,2865,undrawable,2,2,Jewel Rueda,l,077-431-5682,201911,t,Tsetse fly,5.0
unfulsome,v,1991,unfulsome,24,24,Shirl Plotner,c,087-628-6789,201910,v,Velvet ant,2.0
brokership,a,2443,brokership,300,300,Grayce Thatcher,x,080-105-3161,202103,a,ant,1.0
unhefted,e,2440,unhefted,59,59,Irish Jensen,h,081-970-5000,202003,e,Elephant hawk moth,2.0
undry,n,1493,undry,41,41,Carmelo Wallner,x,078-519-5851,202006,n,Nit,4.0
crossbencher,l,2481,crossbencher,261,261,Jeremiah Kazee,i,082-952-9820,202106,l,Locust,99.0
upington,h,2652,upington,161,161,Allen Murillo,o,085-414-1537,202104,h,humbug,0.0
nowise,d,3006,nowise,81,81,Leanora Wickliffe,e,071-619-6458,202109,d,Unknown insect type (imputed),5.0
congeliturbation,u,1995,congeliturbation,283,283,Marybelle Graden,f,076-223-1485,202005,u,Underwing,6.0
chlorotic,n,1740,chlorotic,291,291,Emmie Raiford,l,087-562-1847,202110,n,Nit,4.0
unfrost,c,2892,unfrost,63,63,Almeta Bedolla,z,081-909-2060,202111,c,catapillar,1.0
aiea,k,1813,aiea,68,68,Margrett Lenoir,x,085-130-2200,202006,k,Katydid,3.0
intensionally,s,1946,intensionally,186,186,Beryl Delossantos,b,078-560-7872,202008,s,Stick insect,9.0
pargasite,l,2276,pargasite,202,202,Toshia Hostetter,a,084-997-6773,201903,l,Locust,99.0
scraping,z,3055,scraping,62,62,Nelia Boardman,o,073-849-7376,202000,z,Zorapteran,5.0
culti,i,1649,culti,21,21,Raven Croskey,u,074-809-9073,202005,i,insect,3.0
unrebated,q,2595,unrebated,21,21,Raven Croskey,u,074-809-9073,202005,q,Queen bee,11.0
